Username,Rank,Title,Artist,Genre,Album,Number of Plays
XBKFTF94Hv,2,I'd Do Anything To Make You Smile,Jack Harlow,Rap,Come Home the Kids Miss You,90
XBKFTF94Hv,3,DRIP DROP,Jack Harlow,Rap,Come Home the Kids Miss You,80
XBKFTF94Hv,4,Young Harleezy,Jack Harlow,Rap,Come Home the Kids Miss You,70
XBKFTF94Hv,5,What's Poppin,Jack Harlow,Rap,Come Home The Kids Miss You,60
XBKFTF94Hv,6,Dark Knight,Jack Harlow,Rap,Dark Knight,50
XBKFTF94Hv,7,NIGHTS LIKE THIS,TheKidLaroi,Rap,girls,40
XBKFTF94Hv,8,Shut up My Moms Calling,Hotel Ugly,R&B,Shut up My Moms Calling,40
XBKFTF94Hv,9,Warsaw,Jack Harlow,Rap,Confetti,35
XBKFTF94Hv,10,Ghost,Jack Harlow,Rap,Confetti,30
yBTIMbF3mJ,1,Never Gonna Give You Up,Rick Astley,Pop,Whenever You Need Somebody,300
yBTIMbF3mJ,2,Firework,Katy Perry,Pop,Teenage Dream,189
yBTIMbF3mJ,3,Crab Rave,Noisestorm,EDM,Monstercat Instinct Vol. 1,184
yBTIMbF3mJ,4,The Muffin Song,TomSka,Pop,N/A,119
yBTIMbF3mJ,5,Sandstorm,Darude,EDM,Before the Storm,94
yBTIMbF3mJ,6,Shooting Stars,Bag Raiders,Electronic,Bag Raiders,82
yBTIMbF3mJ,7,Astromania,Vicetone,EDM,Monstercat - Best of 2014,231
yBTIMbF3mJ,8,All Star,Smash Mouth,Pop Rock,Astro Lounge,213
yBTIMbF3mJ,9,Among Us Drip Theme,Leonz,Hip-Hop,N/A,74
yBTIMbF3mJ,10,Gangnam Style,PSY,Pop,PSY 6,38
Wjtez3boG9,10,Nightcall,Kavinsky,EDM,Nightcall,345
Wjtez3boG9,9,A Question of Heaven,Iced Earth,Metal,The Dark Saga,560
Wjtez3boG9,8,Deer Dance,System of a Down,Metal,Toxicity,570
Wjtez3boG9,7,Heartattack In A Layby,Porcupine Tree,Metal,In Absentia,732
Wjtez3boG9,6,I Really Want to Stay at Your House,Rosa Walton,EDM,Cyberpunk 2077: Radio| Vol. 2,780
Wjtez3boG9,5,The Stage,Avenged Sevenfold,Metal,The Stage,983
Wjtez3boG9,4,And Then There Was Silence,Blind Guardian,Metal,A Night at the Opera,978
xXb7ClT5eh,1,Say It Ain't So,Weezer,Rock,Weezer (The Blue Album),100
Wjtez3boG9,3,Bloody Angel,Avatar,Metal,Hail the Apocalypse,983
xXb7ClT5eh,8,Invisible,Duran Duran,Pop,Future Past,50
Wjtez3boG9,2,Flying Whales,Gojira,Metal,From Mars to Sirius,669
Wjtez3boG9,1,Cosmic,Avenged Sevenfold,Metal,Life is but a Dream,545
xXb7ClT5eh,2,Jigsaw Falling Into Place,Radiohead,Rock,In Rainbows,70
xXb7ClT5eh,3,I Am... All Of Me,Crush 40,Rock,Shadow The Hedgehog Official Soundtrack,20
xXb7ClT5eh,4,The Emptiness Machine,Linkin Park,Metal,From Zero,100
xXb7ClT5eh,5,Asimov,65daysofstatic,Rock,No Man's Sky: Music For An Infinite Universe,40
goCMTqVDiB,1,Waking The Witch,Kate Bush,Rock,Hounds of Love,327
C0xWEDrtBt,1,Evergreen,Richy Mitch and The Coal,Folk,Evergreen,1000
goCMTqVDiB,2,Lake,Roland Faunte,Indie,Sewing Kit,313
C0xWEDrtBt,2,House of the Rising sun,The Animals,Folk,The Animals,300
goCMTqVDiB,3,Twisted,MISSIO,Hip-Hop,Loner,301
C0xWEDrtBt,3,Where'd All the Time Go,Dr. Dog,Indie,Shame,400
xXb7ClT5eh,6,The Hand That Feeds,Nine Inch Nails,Rock,With Teeth,30
xXb7ClT5eh,7,Wouldn't It Be Nice,The Beach Boys,Pop,Pet Sounds,20
goCMTqVDiB,4,Darkness At Noon,ALA.NI,Jazz,You & I,291
C0xWEDrtBt,4,San Luis,Gregory Alan Isakov,Indie,Evening Machines,500
goCMTqVDiB,5,Main Attraction,Jeremy Renner,Rock,The Medicine,273
C0xWEDrtBt,5,You Make My Dreams,Daryl Hall & John Oates,Pop,Voices,300
C0xWEDrtBt,6,Carry on Wayward Son,Kansas,Rock,Leftoverture,600
goCMTqVDiB,6,Jar Of Hearts,Through Fire,Rock,Breathe (Deluxe Edition),231
goCMTqVDiB,7,THE DEATH OF PEACE OF MIND,Bad Omens,Metal,THE DEATH OF PEACE OF MIND,229
xXb7ClT5eh,9,Ghosts 'n' Stuff,deadmau5,EDM,For Lack of a Better Name,20
goCMTqVDiB,8,Things We Lost In The Fire,Bastille,Pop,All This Bad Blood,191
xXb7ClT5eh,10,Thirsty,AJR,Alternative,Living Room,5
goCMTqVDiB,9,Monster,Willyecho,Rock,Monster,187
C0xWEDrtBt,7,Vienna,Billy Joel,Folk,The Stranger,600
goCMTqVDiB,10,E For Extinction,Thousand Foot Krutch,Rock,Welcome To The Masquerade,174
C0xWEDrtBt,8,Me on you,Muscadine Bloodline,Country,Teenage Dixie,400
goCMTqVDiB,11,Icarus,Bastille,Pop,All This Bad blood,171
C0xWEDrtBt,9,Boondocks,Little Big Town,Country,The Road to Here,400
goCMTqVDiB,12,Imagine Dragons,Ragged Insomnia,Alternative,Imagine Dragins,131
8rFzFm0U71,1,Only In Dreams,Weezer,Rock,Weezer (blue),70
8rFzFm0U71,2,Runaway,Kanye West,Rap,My Beautiful Dark Twisted Fantasy,80
goCMTqVDiB,13,Lonely Day,System Of A Down,Metal,Hypnotize,123
8rFzFm0U71,3,War Pigs/Luke's Wall,Black Sabbath,Rock,Paranoid,64
8rFzFm0U71,4,Hail To The King,Avenged Sevenfold,Metal,Hail to The King,117
8rFzFm0U71,5,Dream On,Aerosmith,Rock,AEROSMITH,101
8rFzFm0U71,6,505,Arctic Monkeys,Rock,Favourite Worst Nightmare,102
8rFzFm0U71,7,Mr.Rager,Kid Cudi,Rap,Man On the Moon II: The Legend of Mr.Rager,89
8rFzFm0U71,8,Shepherd of Fire,Avenged Sevenfold,Metal,Hail to The King,75
8rFzFm0U71,9,Bat Country,Avenged Sevenfold,Metal,City Of Evil,87
8rFzFm0U71,10,IFHY (feat.Pharrell),Tyler The Creator,Indie,Wolf,96
u6fnBLiSQg,1,Brooklyn,Youngblood Brass Band,Indie,center : level : roar,60
1K1m2OCmg0,1,Ransom,Lil Tecca,Rap,We love you tecca,100
u6fnBLiSQg,2,Get Lucky,Daft Punk,House,Random Access Memories,40
1K1m2OCmg0,2,Yacht Club,Lil Yachty,Rap,Nuthin' 2 Prove,100
u6fnBLiSQg,3,Instant Crush,Daft Punk,House,Random Access Memories,35
1K1m2OCmg0,3,Catch Me Outside,Ski Mask The Slump God,Rap,You Will Regret (Reloaded),98
1K1m2OCmg0,4,Make Believe,Juice WRLD,Rap,Death Race For Love,87
u6fnBLiSQg,4,September,Earth| Wind and Fire,Pop,The Best Of Earth| Wind and Fire Vol. 1,30
1K1m2OCmg0,5,The Party Never Ends,Juice Wrld,Rap,The Party Never Ends 2.0,78
u6fnBLiSQg,5,I Want You Back,The Jackson 5,R&B,Diana Ross Presents The Jackson 5,25
1K1m2OCmg0,6,Poppin,Rich Amiri,Rap,Evolution,67
1K1m2OCmg0,7,Malibu's Most Wanted,Lil tecca,Rap,Dopamine,56
u6fnBLiSQg,6,Ain't No Mountain High Enough,Marvin Gaye| Tammi Terrell,R&B,United,23
1K1m2OCmg0,8,Talk,Yeat,Rap,Lyfe,55
1K1m2OCmg0,9,The truth,Lil Tecca,Rap,Dopamine,45
u6fnBLiSQg,7,Counting Stars,OneRepublic,Pop,Native,20
1K1m2OCmg0,10,Unbothered,Ski Mask The Slump God,Rap,Stokeley,43
u6fnBLiSQg,8,Supermassive Black Hole,Muse,Rock,Black Holes and Revelations,18
u6fnBLiSQg,9,The Less I know the Better,Tame Impala,EDM,Currents,16
aJqyRoyI27,4,Universal Collapse,DM DOKURO,Video Soundtrack,Tale of a Cruel World,200
u6fnBLiSQg,10,Runaway Baby,Bruno Mars,Pop,Doo-Wops & hooligans,15
aJqyRoyI27,8,Lights and sounds,yellowcard,Rock,Lights and sounds,120
aJqyRoyI27,2,CL1P MY W1NGS,Wisp X,EDM,Bedroom Phantoms,300
0GEAyRnJ4G,1,Eternity,Alex Warren,Pop,You'll Be Alright| Kid,57
aJqyRoyI27,9,Rough landing,Holly|yellowcard,Rock,Lights and sounds,200
0GEAyRnJ4G,2,Carry You Home,Alex Warren,Pop,You'll Be Alright| Kid,100
aJqyRoyI27,7,Tolerance,Sound Souler,Video Soundtrack,Lavenue,250
aJqyRoyI27,6,Paradise,Sound Souler,Video Soundtrack,Lavenue,300
0GEAyRnJ4G,3,Ordinary,Alex Warren,Pop,You'll Be Alright| Kid,50
aJqyRoyI27,10,Catastrophes before the calamities,DM DOKURO,Video Soundtrack,Tale of a Cruel World,200
aJqyRoyI27,3,Blue Heart Forever,Wisp X,EDM,Roots,250
0GEAyRnJ4G,4,Dear Maria| Count Me In,All Time Low,Pop,So Wrong| It's Right,40
Y9VSOXiCT7,1,Finding Your Way Home,The Front Bottoms,Rock,You Are Who You Hang Out With,60
aJqyRoyI27,1,Party in my room,xxsagexx,EDM,September 2024,500
Y9VSOXiCT7,2,Look Who's Inside Again,Bo Burnham,Pop,INSIDE,60
0GEAyRnJ4G,5,Stargazing,Myles Smith,Folk,None,70
Y9VSOXiCT7,3,Why Am I Like This?,Orla Gartland,Indie,Why Am I Like This?,60
Y9VSOXiCT7,4,Waving Through A Window,Ben Platt,Country,Dear Evan Hansen (Original Broadway Cast Recording),80
0GEAyRnJ4G,6,My Demons,STARSET,Rock,Transmissions,40
Y9VSOXiCT7,6,The Subway,Chappell Roan,Pop,The Subway,35
Y9VSOXiCT7,7,No Children,The Mountain Goats,Rock,Tallahassee,60
Y9VSOXiCT7,8,Fifteen Minutes,Mike Krol,Rock,I Hate Jazz,30
Y9VSOXiCT7,9,Be Nice To Me,The Front Bottoms,Rock,Rose,70
0GEAyRnJ4G,7,LEGO Ninjago The WEEKEND WHIP,Ninjago Music & The Fold,Rock,Ninjago,120
Y9VSOXiCT7,10,Achilles Come Down,Gang Of Youths,Indie,Go Farther in Lightness,30
N88oZPgfjB,1,Brandy(You're a Fine Girl),Looking Glass,Rock,Looking Glass,32
kNUTYziumG,1,Heartless,Kanye West,Rap,808s & Heartbreak,1000
Y9VSOXiCT7,5,Everywhere| Everything,Noah Kahan,Folk,Stick Season (Forever),60
N88oZPgfjB,2,Dancing in the Moonlight,Toploader,Rock,Dancing in the Moonlight,29
kNUTYziumG,2,Novocaine,Fall Out Boy,Rock,American Beauty/American Psycho,900
kNUTYziumG,3,Fuel,Eminem,Rap,The Death of Slim Shady,700
0GEAyRnJ4G,8,Valhalla Calling,Peyton Parrish,Country,Valhalla Calling,40
N88oZPgfjB,3,Ode to Bourbon,Treaty Oak Revival,Country,No Vacancy,25
N88oZPgfjB,4,Missed Call,Treaty Oak Revival,Country,No Vacancy,24
kNUTYziumG,4,The Phoenix,Fall Out Boy,Rock,My Songs Know What You Did in The Dark,600
N88oZPgfjB,5,Dixieland Delight,Alabama,Country,The Closer You Get,22
kNUTYziumG,5,Wake Up!,Ski Mask The Slump God,Rap,Wake Up!,500
0GEAyRnJ4G,9,Mockingbird,Eminem,Hip-Hop,Encore,60
N88oZPgfjB,6,Friends in Low Places,Garth Brooks,Country,No Fences,19
kNUTYziumG,7,Alone Again,The Weeknd,Rap,After Hours,300
kNUTYziumG,8,Never Me,Token,Rap,I'm Not Supposed To Be Here,200
N88oZPgfjB,7,Riptide,Vance Joy,Indie,Dream Your Life Away,17
kNUTYziumG,9,HOT!,Token,Rap,I'm Not Supposed To Be Here,100
N88oZPgfjB,8,Stop & Stare,Treaty Oak Revival,Country,Dreaming out Loud,15
kNUTYziumG,10,Dirt Road Anthem,Jason Aldean,Country,My Kinda Party,100
0GEAyRnJ4G,10,For the Dancing and the Dreaming,(performed by Gerard Butler| Craig Ferguson & Mary Jane Wells),Video Soundtrack,How to Train Your Dragon 2,80
N88oZPgfjB,9,Something in the Orange,Zach Bryan,Country,American Heartbreak,12
N88oZPgfjB,10,Sounds Like the Radio,Zach Top,Country,Cold Beer & Country Music,10
6YSL13eI8M,10,Trap Queen,Fetty Wap,Hip-Hop,N/A,2
6YSL13eI8M,9,Thick of It,KSI,Pop,Thick of It (All Over the Place),5
6YSL13eI8M,8,Not Like Us,Kendrick Lamar,Hip-Hop,N/A,10
6YSL13eI8M,7,Come On Don't Hide,So Supa,Hip-Hop,Supa vs. Sligger,1
Y9B0QPxENT,1,Spaced Out,Nihmune,Pop,We're Alright,200
6YSL13eI8M,6,NAME==Mythos,Hoyoverse,Video Soundtrack,Genshin Impact,7
6YSL13eI8M,5,The Witch and the Saint,Steven Reineke,Orchestral,The Witch and the Saint,25
Y9B0QPxENT,2,Scatterbrain,Nihmune,Pop,Scatterbrain,200
6YSL13eI8M,4,All My Fellas,FRIZK,Pop,All My Fellas,15
6YSL13eI8M,3,Experience,Ludovico Einaudi,Orchestral,Experience,5
6YSL13eI8M,2,Lament of the Ruined World,Hoyoverse,Video Soundtrack,Genshin Impact,25
Y9B0QPxENT,3,Delulu,Nihmune,Pop,Delulu,300
6YSL13eI8M,1,Aria Math,C418,Lofi,Minecraft - Volume Beta,12
Y9B0QPxENT,4,Hey Nya,Nihmune,Rock,Are You Okay?,500
Y9B0QPxENT,5,Citrus Love,Bao,Pop,Citrus Love,300
Y9B0QPxENT,6,Clarity,Nightcore Reality,Pop,Clarity,500
bMG27LkecL,1,Yes I'm A Mess,AJR,Indie,The Maybe Man,50
Y9B0QPxENT,7,Brain Rot,Nihmune,Rock,Hard To Think,100
bMG27LkecL,2,Way Less Sad,AJR,Indie,OK Orchestra,10
Y9B0QPxENT,8,Ash Again,Hololive English,Alternative,(none),100
bMG27LkecL,3,Would You Fall in Love with Me Again,Jorge Rivera-Herrans,Rock,EPIC: The Ithaca Saga,20
Y9B0QPxENT,8,Diamond City Lights,Lazulight,Pop,Diamond City Lights,200
bMG27LkecL,4,Not Sorry for Loving You,Jorge Rivera-Herrans,Orchestral,EPIC: The Vengeance Saga,40
bMG27LkecL,5,Monster,Jorge Rivera-Herrans,Orchestral,EPIC: The Underworld Saga,30
bMG27LkecL,6,Castle of Glass,Linkin Park,Rock,Living Things,30
bMG27LkecL,7,Inertia,AJR,Indie,The Maybe Man,30
bMG27LkecL,8,Fake a Smile,Alan Walker,EDM,World of Walker,20
bMG27LkecL,9,Woe to the People of Order,Cami-Cat,Folk,N/A,20
Y9B0QPxENT,9,Roki,Mori Calliope,Pop,(none),400
bMG27LkecL,10,Fly Away,TheFatRat,EDM,Fly Away,50
ZxOLXrLtgF,4,Die Anyway,LuLuYam,Pop,Die Anyway,60
ZxOLXrLtgF,5,Lights Go Out,LuLuYam,Pop,Lights Go Out,120
ZxOLXrLtgF,6,EVERYTHING,LuLuYam,Pop,EVERYTHING,150
ZxOLXrLtgF,7,It's All Over,Three Days Grace,Rock,One-X,40
ZxOLXrLtgF,8,AMALGAMATION,LuLuYam,Pop,AMALGAMATION,140
ZxOLXrLtgF,9,Riot,Three Days Grace,Rock,One-X,50
ZxOLXrLtgF,10,Never Too Late,Three Days Grace,Rock,One-X,50
Y9B0QPxENT,10,Heart of Fire,Sinder,Rock,(none),600
6uUJemyzU7,1,Money For nothing,Dire straights,Rock,brothers in arms,200
6uUJemyzU7,2,November Rain,Guns N roses,Rock,Use your Illusion 1,100
6uUJemyzU7,3,Back In Black,AC/DC,Rock,Back In Black,100
6uUJemyzU7,4,Shoot to Thrill,AC/DC,Rock,Back In Black,90
IeaYESmMDP,1,Can I Kick It?,A Tribe Called Quest,Hip-Hop,People's Instinctive Travels and the Paths of Rhythm,200
6uUJemyzU7,5,Empire State Of Mind,JAY-Z,Rap,The Blueprint 3,70
6uUJemyzU7,6,Gotten,Slash,Rock,Slash,90
6uUJemyzU7,7,Patience,Guns N Roses,Rock,Appetite For Destruction,100
6uUJemyzU7,8,Sweet Child O mine,Guns N Roses,Rock,Appetite For Destruction,90
IeaYESmMDP,2,One more time,daft punk,EDM,Discovery,175
IeaYESmMDP,3,Oprah’s bank account,Lil yacthy,Rap,Single,150
6uUJemyzU7,9,Theme From New York,New York|Frank Sinatra,Jazz,Nothing But The Best,60
IeaYESmMDP,4,Rapp snitch knishes,MFDOOM,Rap,Mm food,125
6uUJemyzU7,10,P.Y.T.,Michael Jackson,Rock,Thriller,80
IeaYESmMDP,6,Funny thing,thunder cat,R&B,It is what it is,100
IeaYESmMDP,7,could you be loved,Bob marley,R&B,Uprising,80
IeaYESmMDP,8,IloveYouIHateYou,playboy carti,Rap,Whole lotta red,70
IeaYESmMDP,9,Sundress,ASAP rocky,Rap,Single,50
IeaYESmMDP,10,The spins,Mac miller,Rap,the kids,50
67zfR9D052,4,Army of the Night,Powerwolf,Metal,Blessed & Possessed,65
67zfR9D052,10,You Really Got Me,The Kinks,Rock,Kinks,70
67zfR9D052,9,Twisted Transistor,Korn,Metal,See You On the Other Side,95
67zfR9D052,8,My Way,Frank Sinatra,Jazz,My Way,65
67zfR9D052,7,Short Change Hero,The Heavy,Alternative,The House that Dirt Built,68
67zfR9D052,6,Radio,Bershy,Alternative,Radio,35
67zfR9D052,4,Roll Northumbria,The Dreadnoughts,Pop,Into the North,48
