Username,Rank,Title,Artist,Genre,Album,Number of Plays
kLmtR5NPfF,1,Another Song About The Weekend (Acoustic),A Day To Remember,Pop,Attack Of The Killer B-Sides,232
kLmtR5NPfF,2,Last Shot,templuv (ft. 347aidan),EDM,VALORANT Champions 2025 Anthem,43
kLmtR5NPfF,3,Mi Noog,Sudden Rush,Rock,Suddenrush,188
kLmtR5NPfF,4,UNDERTALE,Toby Fox,EDM,Undertale,87
kLmtR5NPfF,5,Sunflower,Post Malone| Swae Lee,Pop,Hollywood's Bleeding,101
kLmtR5NPfF,6,Let Down,Radiohead,Rock,OK Computer,97
kLmtR5NPfF,7,Slow Dancing in the Dark,Joji,R&B,Ballads 1,55
kLmtR5NPfF,8,Black Sheep (Brie Larson Vocal Version),Metric,Rock,Scott Pilgrim vs. the World,77
kLmtR5NPfF,9,Back on 74,Neo-Soul,EDM,Volcano,76
kLmtR5NPfF,10,Ultimate Showdown,Lemon Demon,Rock,Dinosaurchestra,63
pt2Q2caAOW,1,Typing: 1974-2048,The Faint,EDM,Media,200
pt2Q2caAOW,2,Syntax Lies,Media,EDM,Media,190
pt2Q2caAOW,3,Athoth a Go!! Go!!,Machine Girl,EDM,…Because I’m Young Arrogant and Hate Everything You Stand For,180
pt2Q2caAOW,4,Debaser,Pixies,EDM,Doolittle,200
pt2Q2caAOW,5,Ziggy Stardust,Bauhaus,Rock,The Sky's Gone Out,175
pt2Q2caAOW,6,Mkultra Victim,Negative XP,Alternative,Mkultra Support Group| Vol. 1,300
pt2Q2caAOW,7,Caribou,Pixies,Alternative,Come On Pilgrim,300
pt2Q2caAOW,8,Letter to Memphis,Pixies,Rock,Trompe le Monde,300
pt2Q2caAOW,9,The Good Life,Weezer,Pop,Pinkerton,200
pt2Q2caAOW,10,Stoned Obituary,The Legendary Pink Dots,Alternative,Curse,100
jCwZHjLO7b,5,Under Your Spell,Snow Strippers,EDM,April Mixtape 3,25
3kNepX3xeq,1,Where the Wild Things Are,Luke Combs,Country,Gettin' Old,250
3kNepX3xeq,2,Whiskey Lullaby,Drew Jacobs & Caitlynne Curtis,Country,Whiskey Lullaby,175
3kNepX3xeq,3,Run Away to Mars,TALK,Pop,Run Away to Mars,150
3kNepX3xeq,4,7 Years,Lukas Graham,Pop,Lukas Graham,150
teP0JFiKod,1,Commatose,glass beach,Indie,plastic death,40
3kNepX3xeq,5,a thousand years,Christina Perry,Pop,a thousand years,140
teP0JFiKod,2,drive ME crazy!,lil yachty,Pop,Let's Start Here.,30
3kNepX3xeq,6,No Matter What,Jamie Miller,Pop,The Things I Left Unsaid,100
3kNepX3xeq,7,Let Her Go,Passenger,Folk,All The Little Lights,90
ZxOLXrLtgF,1,ROACHES,LuLuYam,Pop,ROACHES,250
3kNepX3xeq,8,Another Love,Tom Odell,Pop,Long Way Down,90
3kNepX3xeq,9,If You Love Her,Forest Blakk,Pop,If You Love Her,90
teP0JFiKod,3,Cable Kid: Comes Back to Play,Koraii,EDM,Cable Kid: Comes Back to Play,50
teP0JFiKod,4,Cable Kid,Koraii,EDM,Lilysse After Dark: Vol. 2,35
3kNepX3xeq,10,I Can Only Imagine,MercyMe,Pop,Almost There,95
LpZCYdRoyf,5,Everything Must Go,Nero's Day At Disneyland,EDM,From Rotting Fantasylands,100
teP0JFiKod,5,Empress,Koraii,EDM,Empress,20
ZxOLXrLtgF,2,Animal I Have Become,Three Days Grace,Rock,One-X,80
teP0JFiKod,6,Meet The Frownies,Mr Twin Sister,Indie,Meet the Frownies,25
LpZCYdRoyf,9,In Aisles,Nero's Day at Disneyland,EDM,From Rotting Fantasylands,150
ZxOLXrLtgF,3,YEAYEAYEA,LuLuYam,Pop,BURNOUT,120
teP0JFiKod,7,LOVELOVELOVELOVELOVELOVE,six impala,EDM,WFLYTD,30
LpZCYdRoyf,8,ATE,DEATHPIXIE,EDM,ATE,200
teP0JFiKod,8,Lost,Crim3s,EDM,Stay Ugly,100
teP0JFiKod,9,Sky and Soul,Creo,EDM,Sky and Soul,15
LpZCYdRoyf,7,Anchor Song,Peter Bellamy,Folk,Anchor Song,100
